"BL01","BID01","BE01","BE02","BE03","BCS01","BCS02","BCS03","BCS04","age"
"41","02485 000 00219","12","0","11200","10360","720","120","0","87"
"41","04566B068 00710","12","0","5966","5930","36","0","0","95"
"41","06683B01WX00046","12","0","17400","12180","5220","0","0","115"
"41","07026 059 00191","12","0","6395","6126","174","95","0","109"
"41","07039 000 00437","12","0","13100","24","5000","8076","0","115"
"41","08551 040 00672","12","0","3500","3472","27","1","0","66"
"41","08696A000 00000","12","0","8400","8400","0","0","0","43"
"41","09685 000 00223","12","0","7740","3565","2300","1800","75","116"
"41","09685A000000223","12","0","5270","2770","1500","1000","0","57"
"41","11037A140900000","12","0","4800","3520","1280","0","0","39"
"41","11039A140900000","12","0","4760","2379","2380","1","0","39"
"41","11040A140900000","12","0","5570","4265","1055","250","0","39"
"41","11041A140900000","12","0","7630","5695","1935","0","0","39"
"41","11086A000 00590","12","0","6784","5426","1358","0","0","54"
"41","16056 000000000","12","0","1074","1071","0","3","0","48"
"41","16660 000000000","12","0","64300","33454","30346","500","0","38"
"41","17123 000  B-39","12","0","6600","5675","600","325","0","30"
"41","17199 000  B-49","12","0","21300","12261","9039","0","0","30"
"41","17965 000  B-92","12","0","2040","2040","0","0","0","28"
"41","18396 000000000","12","0","5600","5480","120","0","0","25"
"41","18856 609300000","12","0","23595","10695","11900","1000","0","23"
"41","18997 000 00000","12","0","660","650","10","0","0","24"
"41","19656 000 00000","12","0","51242","35297","15945","0","0","21"
"41","19667 081 00105","12","0","69434","54745","14689","0","0","16"
"41","19732 000 00001","12","0","17043","15693","1350","0","0","20"
"41","20133 000 00014","12","0","742","674","68","0","0","19"
"41","20134 000 00038","12","0","2197","2194","3","0","0","19"
"41","20791 000 00000","12","0","24144","24124","20","0","0","16"
"41","21289 012200046","12","0","23266","22846","120","300","0","15"
"41","22024 000 00000","12","0","3217","3217","0","0","0","11"
"41","22967 000 00000","12","0","5020","5017","3","0","0","5"
"41","23881 000 00000","12","0","34440","33940","500","0","0","5"
"41","25B023 00 00000","12","0","564","564","0","0","0","25"
"41","25B024 00 00000","12","0","668","668","0","0","0","25"
"41","25B08 000","12","0","1800","408","1282","110","0","51"
"41","25B10 000 00004","12","0","41800","0","34949","6851","0","57"
"41","25B105000 00000","12","0","9017","8817","200","0","0","40"
"41","25B112000000000","12","0","360","360","0","0","0","36"
"41","25B113000000000","12","0","384","0","384","0","0","36"
"41","25B12 000 00020","12","0","656","406","150","100","0","95"
"41","25B128000000000","12","0","1725","1725","0","0","0","39"
"41","25B13 000 00147","12","0","9500","4572","4428","500","0","49"
"41","25B35 000","12","0","1300","870","360","70","0","95"
"41","25B36 000 00119","12","0","6590","3490","2480","620","0","99"
"41","25B47 000","12","0","113","113","0","0","0","52"
"41","25B53 000","12","0","230","230","0","0","0","70"
"41","25B55 000","12","0","470","470","0","0","0","86"
"41","25B57 000","12","0","530","350","180","0","0","77"
"41","25B77 000  B-77","12","0","1100","1100","0","0","0","101"
"41","25T13 000","12","0","397","397","0","0","0","64"
"41","51C01 000 00001","12","0","4472","4472","0","0","0","55"
"41","51C02 000 00001","12","0","150","150","0","0","0","110"
"41","51C03 000 00001","12","0","1376","1376","0","0","0","78"
"41","51C07A000 00001","12","0","572","572","0","0","0","34"
"41","51C08 000 00001","12","0","500","480","20","0","0","55"
