Element No.,Element Name,Vulnerability Factor (Mi) (Valenzuela Table 10),Structural Significance Factor (Si) (Rashidi Table 3),element weight,reason to assume structural significant factor,what is their application
12,RC Deck,2,3,6,,
13,PSC Deck,1,3,3,,
15,PSC Top Flange,1,3,3,,
16,RC Top Flange,2,3,6,,
28,Steel Deck Open Grid,3,3,9,,
29,Steel Deck Concrete Filled Grid,3,3,9,,
30,Steel Deck Corrugated Orthotropic,3,3,9,,
31,Timber Deck,4,3,12,,
38,RC Slab,2,3,6,,
54,Timber Slab,4,3,12,,
60,Other Deck,1.5,3,4.5,,
65,Other Slab,1.5,3,4.5,,
102,Closed Web / Box Girder (Steel),3,4,12,,
104,Closed Web / Box Girder (PSC),1,4,4,,
105,Closed Web / Box Girder (RC),2,4,8,,
106,Closed Web / Box Girder (Other),1.5,4,6,,
107,Girder Beam (Steel),3,4,12,,
109,Girder Beam (PSC),1,4,4,,
110,Girder Beam (RC),2,4,8,,
111,Girder Beam (Timber),4,4,16,,
112,Girder Beam (Other),1.5,4,6,,
113,Stringer (Steel),3,4,12,,
115,Stringer (PSC),1,4,4,,
116,Stringer (RC),2,4,8,,
117,Stringer (Timber),4,4,16,,
118,Stringer (Other),1.5,4,6,,
120,Truss (Steel),3,4,12,,
135,Truss (Timber),4,4,16,,
136,Truss (Other),1.5,4,6,,
141,Arch (Steel),3,4,12,,
142,Arch (Other),1.5,4,6,,
143,Arch (PSC),1,4,4,,
144,Arch (RC),2,4,8,,
145,Arch (Masonry),1.5,4,6,,
146,Arch (Timber),4,4,16,,
147,Main Cable,3,4,12,Primary load carrying element,
148,Secondary Cable,3,4,12,Load sharing but still structural element,"vertical cables that connect the main, draped suspension cables to the bridge deck, supporting the weight of the roadway"
149,Secondary Cable (Other),3,4,12,Load sharing but still structural element,"vertical cables that connect the main, draped suspension cables to the bridge deck, supporting the weight of the roadway"
152,Floor Beam (Steel),3,4,12,,
154,Floor Beam (PSC),1,4,4,,
155,Floor Beam (RC),2,4,8,,
156,Floor Beam (Timber),4,4,16,,
157,Floor Beam (Other),1.5,4,6,,
161,Pin and/or Pin & Hanger Assembly,3,4,12, are fracture critical connections,"a critical structural connection used in bridge engineering to connect steel girders, allowing for expansion and contraction"
162,Gusset Plate,3,4,12,Primary connection of main members," used in bridges, particularly steel truss bridges, to connect beams, girders, and truss members together at joints (nodes)"
202,Column (Steel),3,4,12,,
203,Column (Other),1.5,4,6,,
204,Column (PSC),1,4,4,,
205,Column (RC),2,4,8,,
206,Column (Timber),4,4,16,,
207,Column Tower (Trestle) (Steel),3,4,12,,
208,Column Tower (Trestle) (Timber),4,4,16,,
210,Pier Wall (RC),2,4,8,,
211,Pier Wall (Other),1.5,4,6,,
212,Pier Wall (Timber),4,4,16,,
213,Pier Wall (Masonry),1.5,4,6,,
215,Abutment (RC),2,2,4,,
216,Abutment (Timber),4,2,8,,
217,Abutment (Masonry),1.5,2,3,,
218,Abutment (Other),1.5,2,3,,
219,Abutment (Steel),3,2,6,,
220,Pile Cap / Footing (RC),2,2,4,,
225,Pile (Steel),3,2,6,,
226,Pile (PSC),1,2,2,,
227,Pile (RC),2,2,4,,
228,Pile (Timber),4,2,8,,
229,Pile (Other),1.5,2,3,,
231,Pier Cap (Steel),3,4,12,,
233,Pier Cap (PSC),1,4,4,,
234,Pier Cap (RC),2,4,8,,
235,Pier Cap (Timber),4,4,16,,
236,Pier Cap (Other),1.5,4,6,,
240,Steel Culvert,3,nan,#VALUE!,,
241,RC Culvert,2,nan,#VALUE!,,
242,Timber Culvert,4,nan,#VALUE!,,
243,Other Culvert,1.5,nan,#VALUE!,,
244,Masonry Culvert,1.5,nan,#VALUE!,,
245,PSC Culvert,1,nan,#VALUE!,,
300,Strip Seal Expansion Joint,1.5,1,1.5,,
301,Pourable Joint Seal,1.5,1,1.5,,
302,Compression Joint Seal,1.5,1,1.5,,
303,Assembly Joint Seal (Modular),1.5,1,1.5,,
304,Open Expansion Joint,1.5,1,1.5,,
305,Assembly Joint without Seal,1.5,1,1.5,,
306,Other Joint,1.5,1,1.5,,
310,Elastomeric Bearings,1.5,3,4.5,,
311,"Movable Bearing (roller, sliding, etc.)",1.5,3,4.5,,
312,Closed / Concealed Bearing,1.5,3,4.5,,
313,Fixed Bearing,1.5,3,4.5,,
314,Pot Bearing,1.5,3,4.5,,
315,Disk Bearing,1.5,3,4.5,,
316,Other Bearing,1.5,3,4.5,,
330,Metal Bridge Railing,3,1,3,,
331,RC Bridge Railing,2,1,2,,
332,Timber Bridge Railing,4,1,4,,
333,Other Bridge Railing,1.5,1,1.5,,
334,Masonry Bridge Railing,1.5,1,1.5,,
510,Wearing Surface,1.5,1,1.5,protective coatings are not structural load-carrying elements,
515,Steel Protective Coating,3,1,3,protective coatings are not structural load-carrying elements,
521,Concrete Protective Coating,2,1,2,protective coatings are not structural load-carrying elements,
